GameID,Titles,YearReleased,Ranking,min_players,max_players,NumRatings,AvgRating,weighted_avg,#_of_awards,ExpansionFlag,#_of_expansion_sets,LicensedType,ClassicFlag,Category,boardgame_category
14863,Sixth Fleet,1975,14863,2,2,123,5.6313,5.9278,0,N,0,Original,Modern,Board,"['Modern Warfare', 'Nautical', 'Wargame']"
14864,5 Second Rule  Uncensored,2016,14864,3,99,67,5.5653,6.0008,0,N,0,Original,Modern,Board,"['Mature / Adult', 'Party Game']"
14865,Monopoly  The Legend of Zelda,2014,14865,0,0,253,5.6089,5.8026,0,N,0,Original,Classic,Board,"['Economic', 'Negotiation', 'Video Game Theme']"
14866,Ciak! Il gioco di carte,2015,14866,2,5,33,5.7879,6.1674,0,N,0,Original,Modern,Card,['Card Game']
14867,The Lost Dutchman,2013,14867,2,5,81,5.6759,6.0166,0,Y,1,Original,Modern,Board,"['Adventure', 'American West', 'Exploration']"
14868,Guesstimation,2009,14868,3,8,51,5.5353,6.0368,0,N,0,Original,Modern,Board,"['Party Game', 'Trivia']"
14869,Wild Life,1964,14869,2,5,171,5.5071,5.7970,0,N,0,Original,Modern,Board,"['Adventure', 'Animals', 'Educational', 'Environmental', 'Exploration']"
14870,Drecksause,2014,14870,2,4,49,5.3626,5.9868,0,N,0,Original,Modern,Board,"['Animals', 'Childrens Game']"
14871,1863,1991,14871,1,2,56,5.3973,5.9712,0,N,0,Original,Modern,Board,"['American Civil War', 'Wargame']"
14872,Die Sprache des Manitu,2007,14872,2,6,43,5.3093,5.9969,0,N,0,Original,Modern,Card,"['Card Game', 'Memory', 'Party Game', 'Word Game']"
14873,Bacon Wars,2015,14873,2,4,44,5.4046,6.0213,0,N,0,Original,Modern,Card,['Card Game']
14874,Wildcraft!,2006,14874,1,4,63,5.5454,6.0038,0,N,0,Original,Modern,Board,"['Educational', 'Environmental']"
14875,Kit & Caboodle,1997,14875,1,3,34,5.3912,6.0639,0,N,0,Original,Modern,Dice,['Dice']
14876,Hextremity,2004,14876,2,6,184,5.5601,5.8180,0,N,0,Original,Modern,Board,['Abstract Strategy']
14877,Spingo,1980,14877,2,8,46,5.3630,5.9997,0,N,0,Original,Modern,Dice,"['Dice', 'Word Game']"
14878,At Full Throttle,2009,14878,2,4,36,5.3264,6.0368,0,N,0,Original,Modern,Card,"['Action / Dexterity', 'Card Game', 'Childrens Game', 'Maze', 'Racing']"
14879,Fuldrigger,1985,14879,2,4,95,5.5790,5.9449,1,N,0,Original,Modern,Board,"['Economic', 'Nautical', 'Renaissance']"
14880,Serpent Stones,2013,14880,2,2,52,5.5510,6.0389,0,N,0,Original,Modern,Card,"['Abstract Strategy', 'Card Game']"
14881,Among Us,2018,14881,4,8,45,5.8933,6.1687,0,N,0,Original,Modern,Dice,"['Bluffing', 'Deduction', 'Dice', 'Party Game', 'Science Fiction', 'Spies/Secret Agents']"
14882,Vroom Vroom,2016,14882,2,4,35,5.3057,6.0367,0,N,0,Original,Modern,Board,['Racing']
14883,The Chain Game,2008,14883,3,10,53,5.3604,5.9697,0,N,0,Original,Modern,Board,['Party Game']
14884,Willi Wacker,1986,14884,3,6,67,5.4254,5.9447,0,N,0,Original,Modern,Card,['Card Game']
14885,Bloodborne  The Board Game,2020,14885,1,4,127,6.4050,6.3555,0,Y,8,Original,Modern,Board,"['Adventure', 'Fantasy', 'Horror', 'Miniatures', 'Video Game Theme']"
14886,Black Sheep and White Sheep,2014,14886,2,4,79,5.5367,5.9590,0,N,0,Original,Modern,Board,"['Abstract Strategy', 'Animals', 'Childrens Game', 'Miniatures', 'Print & Play']"
14887,Crazy Dancing,2009,14887,6,24,51,5.4804,6.0183,0,N,0,Original,Modern,Board,"['Action / Dexterity', 'Music']"
14888,Monopoly  My Little Pony,2013,14888,2,6,43,5.5477,6.0686,0,N,0,Original,Classic,Board,"['Economic', 'Movies / TV / Radio theme', 'Negotiation']"
14889,Asterix & Obelix,2006,14889,2,2,106,5.4236,5.8454,0,N,0,Original,Modern,Card,"['Card Game', 'Comic Book / Strip', 'Fighting']"
14890,Pennant Race,1983,14890,1,12,87,5.4805,5.9148,0,N,0,Original,Modern,Dice,"['Dice', 'Negotiation', 'Sports']"
14891,Funny Bunny,1999,14891,2,4,595,5.4995,5.6136,3,N,0,Original,Modern,Board,"['Childrens Game', 'Racing']"
14892,Dodoresque,2018,14892,2,4,40,5.3625,6.0269,0,N,0,Original,Modern,Card,['Card Game']
